Year,Round,Team,Player,Score,Opposition,Venue
2014,1,FRE,Tommy Sheridan,46,COL,Etihad
2014,1,GEE,Lincoln McCarthy,46,ADE,Simonds
2014,1,CAR,Robert Warnock,46,PA,Etihad
2014,1,STK,Eli Templeton,45,MEL,Etihad
2014,1,WB,Jordan Roughead,45,WCE,Domain
2014,1,WCE,Jamie Bennell,45,WB,Domain
2014,1,NM,Jack Ziebell,45,ESS,Etihad
2014,1,CAR,Jeff Garlett,45,PA,Etihad
2014,1,ADE,Daniel Talia,45,GEE,Simonds
2014,1,ESS,Zach Merrett,45,NM,Etihad
2014,1,CAR,Matthew Watson,45,PA,Etihad
2014,1,FRE,Zac Dawson,45,COL,Etihad
2014,1,ADE,Jason Porplyzia,44,GEE,Simonds
2014,1,ADE,Jarryd Lyons,44,GEE,Simonds
2014,1,ADE,James Podsiadly,44,GEE,Simonds
2014,1,NM,Nathan Grima,44,ESS,Etihad
2014,1,MEL,Tom McDonald,44,STK,Etihad
2014,1,NM,Aaron Black,43,ESS,Etihad
2014,1,RIC,Steven Morris,43,GCS,Metricon
2014,1,WB,Jason Johannisen,43,WCE,Domain
2014,1,WB,Easton Wood,43,WCE,Domain
2014,1,STK,Shane Savage,43,MEL,Etihad
2014,1,NM,Lachlan Hansen,43,ESS,Etihad
2014,1,GEE,Dawson Simpson,43,ADE,Simonds
2014,1,GCS,Sean Lemmens,42,RIC,Metricon
2014,1,CAR,Zach Tuohy,42,PA,Etihad
2014,1,ADE,Ben Rutten,42,GEE,Simonds
2014,1,COL,Martin Clarke,42,FRE,Etihad
2014,1,HAW,Josh Gibson,41,BL,Launceston
2014,1,CAR,Andrew McInnes,40,PA,Etihad
2014,1,PA,Matthew Broadbent,39,CAR,Etihad
2014,1,ADE,Brodie Martin,39,GEE,Simonds
2014,1,RIC,Matt McDonough,39,GCS,Metricon
2014,1,STK,Beau Maister,39,MEL,Etihad
2014,1,WB,Jake Stringer,38,WCE,Domain
2014,1,NM,Daniel Wells,37,ESS,Etihad
2014,1,GWS,Jonathan Giles,36,SYD,Spotless
2014,1,SYD,Sam Reid,36,GWS,Spotless
2014,1,COL,Travis Cloke,35,FRE,Etihad
2014,1,FRE,Jack Hannath,34,COL,Etihad
2014,1,GCS,Clay Cameron,34,RIC,Metricon
2014,1,WB,Tory Dickson,34,WCE,Domain
2014,1,GWS,Dylan Shiel,34,SYD,Spotless
2014,1,MEL,Jeremy Howe,34,STK,Etihad
2014,1,ADE,Sam Shaw,34,GEE,Simonds
2014,1,PA,Tom Jonas,34,CAR,Etihad
2014,1,GEE,Mark Blicavs,34,ADE,Simonds
2014,1,COL,Tyson Goldsack,34,FRE,Etihad
2014,1,GEE,Tom Hawkins,33,ADE,Simonds
2014,1,BL,Michael Close,33,HAW,Launceston
2014,1,BL,Daniel Merrett,33,HAW,Launceston
2014,1,GCS,Matthew Warnock,32,RIC,Metricon
2014,1,GWS,Phil Davis,32,SYD,Spotless
2014,1,MEL,Jay Kennedy-Harris,31,STK,Etihad
2014,1,WCE,Mitchell Brown,31,WB,Domain
2014,1,STK,Nathan Wright,31,MEL,Etihad
2014,1,HAW,Tim O'Brien,31,BL,Launceston
2014,1,HAW,Kyle Cheney,30,BL,Launceston
2014,1,WB,Tom Campbell,30,WCE,Domain
2014,1,PA,Tom Clurey,28,CAR,Etihad
2014,1,WB,Dale Morris,28,WCE,Domain
2014,1,PA,Dom Cassisi,26,CAR,Etihad
2014,1,NM,Scott McMahon,25,ESS,Etihad
2014,1,CAR,Lachie Henderson,25,PA,Etihad
2014,1,RIC,Nathan Foley,24,GCS,Metricon
2014,1,NM,Drew Petrie,24,ESS,Etihad
2014,1,BL,Justin Clarke,23,HAW,Launceston
2014,1,FRE,Lachie Neale,23,COL,Etihad
2014,1,BL,Ryan Harwood,22,HAW,Launceston
2014,1,MEL,Jack Fitzpatrick,22,STK,Etihad
2014,1,COL,Nathan J. Brown,22,FRE,Etihad
2014,1,COL,Ben Kennedy,22,FRE,Etihad
2014,1,GCS,Charlie Dixon,21,RIC,Metricon
2014,1,COL,Alan Toovey,20,FRE,Etihad
2014,1,HAW,Derick Wanganeen,20,BL,Launceston
2014,1,NM,Sam Wright,20,ESS,Etihad
2014,1,SYD,Lewis Roberts-Thomson,19,GWS,Spotless
2014,1,BL,Joel Patfull,19,HAW,Launceston
2014,1,SYD,Ryan O'Keefe,17,GWS,Spotless
2014,1,STK,Jack Billings,14,MEL,Etihad
2014,1,WCE,Dom Sheed,11,WB,Domain
2014,1,BL,Lewis Taylor,10,HAW,Launceston
2014,1,GWS,Rhys Palmer,10,SYD,Spotless
2014,1,CAR,Troy Menzel,7,PA,Etihad
2014,1,GCS,Jack Martin,6,RIC,Metricon
2014,2,GEE,Steve Johnson,153,BL,Gabba
2014,2,COL,Scott Pendlebury,152,SYD,Olympic
2014,2,STK,Nick Riewoldt,148,GWS,Etihad
2014,2,PA,Kane Cornes,136,ADE,Adelaide
2014,2,GWS,Shane Mumford,132,STK,Etihad
2014,2,BL,Jack Redden,131,GEE,Gabba
2014,2,FRE,Michael Barlow,130,GCS,Domain
2014,2,BL,Dayne Zorko,130,GEE,Gabba
2014,2,MEL,Nathan Jones,129,WCE,MCG
2014,2,PA,Brad Ebert,127,ADE,Adelaide
2014,2,MEL,Daniel Cross,125,WCE,MCG
2014,2,MEL,James Frawley,124,WCE,MCG
2014,2,HAW,Shaun Burgoyne,123,ESS,Etihad
2014,2,FRE,David Mundy,123,GCS,Domain
2014,2,ADE,Brodie Smith,123,PA,Adelaide
2014,2,WCE,Luke Shuey,122,MEL,MCG
2014,2,ESS,Brent Stanton,121,HAW,Etihad
2014,2,ESS,Jobe Watson,120,HAW,Etihad
2014,2,ADE,Matthew Jaensch,119,PA,Adelaide
2014,2,STK,Tom Hickey,119,GWS,Etihad
2014,2,NM,Brent Harvey,118,WB,Etihad
2014,2,NM,Sam Gibson,117,WB,Etihad
2014,2,CAR,Ed Curnow,117,RIC,MCG
2014,2,WB,Adam Cooney,116,NM,Etihad
2014,2,BL,Pearce Hanley,113,GEE,Gabba
2014,2,MEL,Dean Terlich,113,WCE,MCG
2014,2,COL,Dayne Beams,113,SYD,Olympic
2014,2,ADE,Rory Sloane,113,PA,Adelaide
2014,2,ESS,Jake Carlisle,111,HAW,Etihad
2014,2,MEL,Dom Tyson,111,WCE,MCG
2014,2,MEL,Bernie Vince,111,WCE,MCG
2014,2,WCE,Chris Masten,111,MEL,MCG
2014,2,GWS,Callan Ward,110,STK,Etihad
2014,2,ESS,Paul Chapman,110,HAW,Etihad
2014,2,STK,Leigh Montagna,110,GWS,Etihad
2014,2,GWS,Devon Smith,109,STK,Etihad
2014,2,STK,David Armitage,109,GWS,Etihad
2014,2,RIC,Matthew Thomas,107,CAR,MCG
2014,2,BL,Brent Moloney,106,GEE,Gabba
2014,2,WCE,Andrew Gaff,106,MEL,MCG
2014,2,FRE,Paul Duffield,106,GCS,Domain
2014,2,WCE,Matt Rosa,105,MEL,MCG
2014,2,WCE,Josh J Kennedy,105,MEL,MCG
2014,2,NM,Nick Dal Santo,105,WB,Etihad
2014,2,SYD,Lewis Jetta,104,COL,Olympic
2014,2,WCE,Matt Priddis,104,MEL,MCG
2014,2,PA,Jay Schulz,104,ADE,Adelaide
2014,2,FRE,Aaron Sandilands,104,GCS,Domain
2014,2,GEE,Joel Selwood,104,BL,Gabba
2014,2,CAR,Chris Yarran,103,RIC,MCG
2014,2,CAR,Marc Murphy,103,RIC,MCG
2014,2,GEE,James Kelly,103,BL,Gabba
2014,2,GEE,Travis Varcoe,102,BL,Gabba
2014,2,ADE,Richard Douglas,102,PA,Adelaide
2014,2,PA,Chad Wingard,102,ADE,Adelaide
2014,2,STK,Farren Ray,99,GWS,Etihad
2014,2,ESS,David Myers,99,HAW,Etihad
2014,2,SYD,Josh P. Kennedy,99,COL,Olympic
2014,2,PA,Ollie Wines,99,ADE,Adelaide
2014,2,WB,Will Minson,98,NM,Etihad
2014,2,ESS,Cale Hooker,98,HAW,Etihad
2014,2,HAW,Bradley Hill,98,ESS,Etihad
2014,2,SYD,Mike Pyke,98,COL,Olympic
2014,2,PA,Hamish Hartlett,97,ADE,Adelaide
2014,2,SYD,Ben McGlynn,97,COL,Olympic
2014,2,NM,Lachlan Hansen,97,WB,Etihad
2014,2,STK,Sean Dempster,97,GWS,Etihad
2014,2,ADE,Brad Crouch,96,PA,Adelaide
2014,2,ESS,Dustin Fletcher,96,HAW,Etihad
2014,2,WB,Koby Stevens,96,NM,Etihad
2014,2,CAR,Kade Simpson,96,RIC,MCG
2014,2,SYD,Tom Mitchell,95,COL,Olympic
2014,2,STK,Jack Newnes,95,GWS,Etihad
2014,2,ESS,Brendon Goddard,95,HAW,Etihad
2014,2,ESS,Michael Hibberd,95,HAW,Etihad
2014,2,FRE,Nat Fyfe,95,GCS,Domain
2014,2,PA,Angus Monfries,94,ADE,Adelaide
2014,2,ESS,Jackson Merrett,94,HAW,Etihad
2014,2,GWS,Adam Kennedy,94,STK,Etihad
2014,2,COL,Nick Maxwell,93,SYD,Olympic
2014,2,SYD,Dan Hannebery,93,COL,Olympic
2014,2,WB,Luke Dahlhaus,93,NM,Etihad
2014,2,RIC,Brandon Ellis,93,CAR,MCG
2014,2,STK,Clinton Jones,92,GWS,Etihad
