year,round,player,prev rd score,three rd av,five rd av,season av,prev against opp,prev at venue,three rd av team for,three rd av opp against,last team opp,last team venue,score
2014,1,Luke McDonald,,,,,,,,,,,53
2014,1,Taylor Hunt,,,,,,,,,,,52
2014,1,Lance Franklin,,,,,,,,,,,52
2014,1,Nic Naitanui,,,,,,,,,,,51
2014,1,Aaron Hall,,,,,,,,,,,50
2014,1,Brandon Ellis,,,,,,,,,,,50
2014,1,Gary Rohan,,,,,,,,,,,50
2014,1,Jack Riewoldt,,,,,,,,,,,50
2014,1,Brad Crouch,,,,,,,,,,,50
2014,1,Jackson Trengove,,,,,,,,,,,49
2014,1,Curtly Hampton,,,,,,,,,,,49
2014,1,Dylan Addison,,,,,,,,,,,49
2014,1,Tom Nicholls,,,,,,,,,,,49
2014,1,Jimmy Webster,,,,,,,,,,,49
2014,1,Trent McKenzie,,,,,,,,,,,49
2014,1,Rhys Stanley,,,,,,,,,,,49
2014,1,Daniel Giansiracusa,,,,,,,,,,,48
2014,1,Jared Rivers,,,,,,,,,,,48
2014,1,Michael Jamison,,,,,,,,,,,48
2014,1,Troy Chaplin,,,,,,,,,,,48
2014,1,Josh J Kennedy,,,,,,,,,,,48
2014,1,Timmy Sumner,,,,,,,,,,,47
2014,1,Luke McPharlin,,,,,,,,,,,46
2014,1,Tommy Sheridan,,,,,,,,,,,46
2014,1,Lincoln McCarthy,,,,,,,,,,,46
2014,1,Robert Warnock,,,,,,,,,,,46
2014,1,Eli Templeton,,,,,,,,,,,45
2014,1,Jordan Roughead,,,,,,,,,,,45
2014,1,Jamie Bennell,,,,,,,,,,,45
2014,1,Jack Ziebell,,,,,,,,,,,45
2014,1,Jeff Garlett,,,,,,,,,,,45
2014,1,Daniel Talia,,,,,,,,,,,45
2014,1,Zach Merrett,,,,,,,,,,,45
2014,1,Matthew Watson,,,,,,,,,,,45
2014,1,Zac Dawson,,,,,,,,,,,45
2014,1,Jason Porplyzia,,,,,,,,,,,44
2014,1,Jarryd Lyons,,,,,,,,,,,44
2014,1,James Podsiadly,,,,,,,,,,,44
2014,1,Nathan Grima,,,,,,,,,,,44
2014,1,Tom McDonald,,,,,,,,,,,44
2014,1,Aaron Black,,,,,,,,,,,43
2014,1,Steven Morris,,,,,,,,,,,43
2014,1,Jason Johannisen,,,,,,,,,,,43
2014,1,Easton Wood,,,,,,,,,,,43
2014,1,Shane Savage,,,,,,,,,,,43
2014,1,Lachlan Hansen,,,,,,,,,,,43
2014,1,Dawson Simpson,,,,,,,,,,,43
2014,1,Sean Lemmens,,,,,,,,,,,42
2014,1,Zach Tuohy,,,,,,,,,,,42
2014,1,Ben Rutten,,,,,,,,,,,42
2014,1,Martin Clarke,,,,,,,,,,,42
2014,1,Josh Gibson,,,,,,,,,,,41
2014,1,Andrew McInnes,,,,,,,,,,,40
2014,1,Matthew Broadbent,,,,,,,,,,,39
2014,1,Brodie Martin,,,,,,,,,,,39
2014,1,Matt McDonough,,,,,,,,,,,39
2014,1,Beau Maister,,,,,,,,,,,39
2014,1,Jake Stringer,,,,,,,,,,,38
2014,1,Daniel Wells,,,,,,,,,,,37
2014,1,Jonathan Giles,,,,,,,,,,,36
2014,1,Sam Reid,,,,,,,,,,,36
2014,1,Travis Cloke,,,,,,,,,,,35
2014,1,Jack Hannath,,,,,,,,,,,34
2014,1,Clay Cameron,,,,,,,,,,,34
2014,1,Tory Dickson,,,,,,,,,,,34
2014,1,Dylan Shiel,,,,,,,,,,,34
2014,1,Jeremy Howe,,,,,,,,,,,34
2014,1,Sam Shaw,,,,,,,,,,,34
2014,1,Tom Jonas,,,,,,,,,,,34
2014,1,Mark Blicavs,,,,,,,,,,,34
2014,1,Tyson Goldsack,,,,,,,,,,,34
2014,1,Tom Hawkins,,,,,,,,,,,33
2014,1,Michael Close,,,,,,,,,,,33
2014,1,Daniel Merrett,,,,,,,,,,,33
2014,1,Matthew Warnock,,,,,,,,,,,32
2014,1,Phil Davis,,,,,,,,,,,32
2014,1,Jay Kennedy-Harris,,,,,,,,,,,31
2014,1,Mitchell Brown,,,,,,,,,,,31
2014,1,Nathan Wright,,,,,,,,,,,31
2014,1,Tim O'Brien,,,,,,,,,,,31
2014,1,Kyle Cheney,,,,,,,,,,,30
2014,1,Tom Campbell,,,,,,,,,,,30
2014,1,Tom Clurey,,,,,,,,,,,28
2014,1,Dale Morris,,,,,,,,,,,28
2014,1,Dom Cassisi,,,,,,,,,,,26
2014,1,Scott McMahon,,,,,,,,,,,25
2014,1,Lachie Henderson,,,,,,,,,,,25
2014,1,Nathan Foley,,,,,,,,,,,24
2014,1,Drew Petrie,,,,,,,,,,,24
2014,1,Justin Clarke,,,,,,,,,,,23
2014,1,Lachie Neale,,,,,,,,,,,23
2014,1,Ryan Harwood,,,,,,,,,,,22
2014,1,Jack Fitzpatrick,,,,,,,,,,,22
2014,1,Nathan J. Brown,,,,,,,,,,,22
2014,1,Ben Kennedy,,,,,,,,,,,22
2014,1,Charlie Dixon,,,,,,,,,,,21
2014,1,Alan Toovey,,,,,,,,,,,20
2014,1,Derick Wanganeen,,,,,,,,,,,20
2014,1,Sam Wright,,,,,,,,,,,20
2014,1,Lewis Roberts-Thomson,,,,,,,,,,,19
2014,1,Joel Patfull,,,,,,,,,,,19
2014,1,Ryan O'Keefe,,,,,,,,,,,17
2014,1,Jack Billings,,,,,,,,,,,14
2014,1,Dom Sheed,,,,,,,,,,,11
2014,1,Lewis Taylor,,,,,,,,,,,10
2014,1,Rhys Palmer,,,,,,,,,,,10
2014,1,Troy Menzel,,,,,,,,,,,7
2014,1,Jack Martin,,,,,,,,,,,6
2014,2,Steve Johnson,121,,,121,,,,,,,153
2014,2,Scott Pendlebury,122,,,122,,,,,,,152
2014,2,Nick Riewoldt,125,,,125,,125,,,,1579,148
2014,2,Kane Cornes,128,,,128,,,,,,,136
2014,2,Shane Mumford,110,,,110,,,,,,,132
2014,2,Jack Redden,88,,,88,,,,,,,131
2014,2,Michael Barlow,134,,,134,,,,,,,130
2014,2,Dayne Zorko,93,,,93,,,,,,,130
2014,2,Nathan Jones,147,,,147,,,,,,,129
2014,2,Brad Ebert,100,,,100,,,,,,,127
2014,2,Daniel Cross,85,,,85,,,,,,,125
2014,2,James Frawley,77,,,77,,,,,,,124
2014,2,Shaun Burgoyne,88,,,88,,,,,,,123
2014,2,David Mundy,99,,,99,,,,,,,123
2014,2,Brodie Smith,62,,,62,,,,,,,123
2014,2,Luke Shuey,60,,,60,,,,,,,122
2014,2,Brent Stanton,87,,,87,,87,,,,2012,121
2014,2,Jobe Watson,153,,,153,,153,,,,2012,120
2014,2,Matthew Jaensch,89,,,89,,,,,,,119
2014,2,Tom Hickey,85,,,85,,85,,,,1579,119
2014,2,Brent Harvey,96,,,96,,96,,,,1289,118
2014,2,Sam Gibson,59,,,59,,59,,,,1289,117
2014,2,Ed Curnow,94,,,94,,,,,,,117
2014,2,Adam Cooney,96,,,96,,,,,,,116
2014,2,Pearce Hanley,79,,,79,,,,,,,113
2014,2,Dean Terlich,54,,,54,,,,,,,113
2014,2,Dayne Beams,122,,,122,,,,,,,113
2014,2,Rory Sloane,109,,,109,,,,,,,113
2014,2,Jake Carlisle,71,,,71,,71,,,,2012,111
2014,2,Dom Tyson,116,,,116,,,,,,,111
2014,2,Bernie Vince,118,,,118,,,,,,,111
2014,2,Chris Masten,67,,,67,,,,,,,111
2014,2,Callan Ward,111,,,111,,,,,,,110
2014,2,Paul Chapman,106,,,106,,106,,,,2012,110
2014,2,Leigh Montagna,,,,,,,,,,1579,110
2014,2,Devon Smith,59,,,59,,,,,,,109
2014,2,David Armitage,61,,,61,,61,,,,1579,109
2014,2,Matthew Thomas,108,,,108,,,,,,,107
2014,2,Brent Moloney,62,,,62,,,,,,,106
2014,2,Andrew Gaff,105,,,105,,,,,,,106
2014,2,Paul Duffield,61,,,61,,,,,,,106
2014,2,Matt Rosa,122,,,122,,,,,,,105
2014,2,Josh J Kennedy,48,,,48,,,,,,,105
2014,2,Nick Dal Santo,74,,,74,,74,,,,1289,105
2014,2,Lewis Jetta,59,,,59,,,,,,,104
2014,2,Matt Priddis,109,,,109,,,,,,,104
2014,2,Jay Schulz,90,,,90,,,,,,,104
2014,2,Aaron Sandilands,110,,,110,,,,,,,104
2014,2,Joel Selwood,132,,,132,,,,,,,104
2014,2,Chris Yarran,60,,,60,,,,,,,103
2014,2,Marc Murphy,89,,,89,,,,,,,103
2014,2,James Kelly,100,,,100,,,,,,,103
2014,2,Travis Varcoe,73,,,73,,,,,,,102
2014,2,Richard Douglas,,,,,,,,,,,102
2014,2,Chad Wingard,100,,,100,,,,,,,102
2014,2,Farren Ray,105,,,105,,105,,,,1579,99
2014,2,David Myers,103,,,103,,103,,,,2012,99
2014,2,Josh P. Kennedy,83,,,83,,,,,,,99
2014,2,Ollie Wines,136,,,136,,,,,,,99
2014,2,Will Minson,54,,,54,,,,,,,98
2014,2,Cale Hooker,125,,,125,,125,,,,2012,98
2014,2,Bradley Hill,83,,,83,,,,,,,98
2014,2,Mike Pyke,84,,,84,,,,,,,98
2014,2,Hamish Hartlett,80,,,80,,,,,,,97
2014,2,Ben McGlynn,70,,,70,,,,,,,97
2014,2,Lachlan Hansen,43,,,43,,43,,,,1289,97
2014,2,Sean Dempster,100,,,100,,100,,,,1579,97
2014,2,Brad Crouch,50,,,50,,,,,,,96
2014,2,Dustin Fletcher,68,,,68,,68,,,,2012,96
2014,2,Koby Stevens,88,,,88,,,,,,,96
2014,2,Kade Simpson,84,,,84,,,,,,,96
2014,2,Tom Mitchell,93,,,93,,,,,,,95
2014,2,Jack Newnes,84,,,84,,84,,,,1579,95
2014,2,Brendon Goddard,119,,,119,,119,,,,2012,95
2014,2,Michael Hibberd,96,,,96,,96,,,,2012,95
2014,2,Nat Fyfe,64,,,64,,,,,,,95
2014,2,Angus Monfries,92,,,92,,,,,,,94
2014,2,Jackson Merrett,111,,,111,,111,,,,2012,94
2014,2,Adam Kennedy,70,,,70,,,,,,,94
2014,2,Nick Maxwell,54,,,54,,,,,,,93
2014,2,Dan Hannebery,66,,,66,,,,,,,93
2014,2,Luke Dahlhaus,108,,,108,,,,,,,93
2014,2,Brandon Ellis,50,,,50,,,,,,,93
2014,2,Clinton Jones,141,,,141,,141,,,,1579,92
2014,2,Andrew Mackie,104,,,104,,,,,,,92
2014,2,Stephen Coniglio,130,,,130,,,,,,,92
2014,2,Ryan Bastinac,62,,,62,,62,,,,1289,92
2014,2,Mathew Stokes,104,,,104,,,,,,,91
2014,2,Scott Thompson,57,,,57,,,,,,,91
2014,2,David Zaharakis,100,,,100,,100,,,,2012,91
